sample_size,num_attributes,num_fds,fd_density,minimal_cover_size,reduction_ratio,total_fd_sets,below_2nf_count,2nf_count,3nf_count,bcnf_count,below_2nf_rate,2nf_rate,3nf_rate,bcnf_rate
1,4,28,0.03571428571428571,0.928267,0.03315239285714285,30000,819,269,15823,13089,0.0273,0.008966666666666666,0.5274333333333333,0.4363
2,4,28,0.07142857142857142,1.725433,0.061622607142857146,30000,2741,540,20223,6496,0.09136666666666667,0.018,0.6741,0.21653333333333333
3,4,28,0.10714285714285714,2.381333,0.08504760714285715,30000,4839,666,19973,4522,0.1613,0.0222,0.6657666666666666,0.15073333333333333
4,4,28,0.14285714285714285,2.902833,0.10367260714285716,30000,6648,575,17493,5284,0.2216,0.019166666666666665,0.5831,0.17613333333333334
5,4,28,0.17857142857142858,3.316367,0.11844167857142858,30000,7955,434,14648,6963,0.26516666666666666,0.014466666666666666,0.4882666666666667,0.2321
6,4,28,0.21428571428571427,3.631733,0.12970475,30000,8486,292,11899,9323,0.28286666666666666,0.009733333333333333,0.39663333333333334,0.3107666666666667
7,4,28,0.25,3.877433,0.13847974999999998,30000,8237,158,9386,12219,0.2745666666666667,0.005266666666666667,0.3128666666666667,0.4073
8,4,28,0.2857142857142857,4.063467,0.14512382142857144,30000,7874,86,6998,15042,0.2624666666666667,0.0028666666666666667,0.23326666666666668,0.5014
9,4,28,0.32142857142857145,4.190067,0.14964525,30000,6967,34,5101,17898,0.23223333333333335,0.0011333333333333334,0.17003333333333334,0.5966
10,4,28,0.35714285714285715,4.316633,0.1541654642857143,30000,6063,15,3462,20460,0.2021,0.0005,0.1154,0.682
11,4,28,0.39285714285714285,4.407,0.15739285714285714,30000,4958,5,2376,22661,0.16526666666666667,0.00016666666666666666,0.0792,0.7553666666666666
12,4,28,0.42857142857142855,4.422833,0.1579583214285714,30000,3888,4,1500,24608,0.1296,0.00013333333333333334,0.05,0.8202666666666667
13,4,28,0.4642857142857143,4.5402,0.16215,30000,2938,1,920,26141,0.09793333333333333,3.3333333333333335e-05,0.030666666666666665,0.8713666666666666
14,4,28,0.5,4.584767,0.16374167857142857,30000,2137,0,551,27312,0.07123333333333333,0.0,0.018366666666666667,0.9104
15,4,28,0.5357142857142857,4.6356,0.16555714285714287,30000,1485,0,278,28237,0.0495,0.0,0.009266666666666666,0.9412333333333334
16,4,28,0.5714285714285714,4.696167,0.16772025,30000,1004,0,161,28835,0.033466666666666665,0.0,0.005366666666666666,0.9611666666666666
17,4,28,0.6071428571428571,4.714933,0.1683904642857143,30000,592,0,75,29333,0.019733333333333332,0.0,0.0025,0.9777666666666667
18,4,28,0.6428571428571429,4.753433,0.1697654642857143,30000,367,0,27,29606,0.012233333333333334,0.0,0.0009,0.9868666666666667
19,4,28,0.6785714285714286,4.4049,0.15731785714285712,30000,211,0,15,29774,0.007033333333333333,0.0,0.0005,0.9924666666666667
20,4,28,0.7142857142857143,4.380667,0.15645239285714285,30000,76,0,3,29921,0.002533333333333333,0.0,0.0001,0.9973666666666666
21,4,28,0.75,4.320667,0.1543095357142857,30000,55,0,1,29944,0.0018333333333333333,0.0,3.3333333333333335e-05,0.9981333333333333
22,4,28,0.7857142857142857,4.274033,0.15264403571428573,30000,20,0,1,29979,0.0006666666666666666,0.0,3.3333333333333335e-05,0.9993
23,4,28,0.8214285714285714,4.221433,0.1507654642857143,30000,5,0,0,29995,0.00016666666666666666,0.0,0.0,0.9998333333333334
24,4,28,0.8571428571428571,4.177767,0.14920596428571428,30000,1,0,0,29999,3.3333333333333335e-05,0.0,0.0,0.9999666666666667
25,4,28,0.8928571428571429,4.1266,0.14737857142857141,30000,1,0,0,29999,3.3333333333333335e-05,0.0,0.0,0.9999666666666667
26,4,28,0.9285714285714286,4.079467,0.14569525,30000,0,0,0,30000,0.0,0.0,0.0,1.0
27,4,28,0.9642857142857143,4.036733,0.14416903571428571,30000,0,0,0,30000,0.0,0.0,0.0,1.0
28,4,28,1.0,4.0,0.14285714285714285,30000,0,0,0,30000,0.0,0.0,0.0,1.0
1,5,75,0.013333333333333334,0.9543,0.012724000000000001,30000,344,271,17632,11753,0.011466666666666667,0.009033333333333334,0.5877333333333333,0.39176666666666665
2,5,75,0.02666666666666667,1.797,0.02396,30000,1268,772,23177,4783,0.04226666666666667,0.025733333333333334,0.7725666666666666,0.15943333333333334
3,5,75,0.04,2.539267,0.03385689333333333,30000,2544,1060,24302,2094,0.0848,0.035333333333333335,0.8100666666666667,0.0698
4,5,75,0.05333333333333334,3.1977,0.042636,30000,3831,1247,23777,1145,0.1277,0.04156666666666667,0.7925666666666666,0.03816666666666667
8,5,75,0.10666666666666667,4.8355,0.06447333333333333,30000,6875,724,19275,3126,0.22916666666666666,0.024133333333333333,0.6425,0.1042
11,5,75,0.14666666666666667,5.394733,0.07192977333333332,30000,7104,292,15728,6876,0.2368,0.009733333333333333,0.5242666666666667,0.2292
15,5,75,0.2,5.722033,0.07629377333333333,30000,6170,51,10811,12968,0.20566666666666666,0.0017,0.36036666666666667,0.4322666666666667
19,5,75,0.25333333333333335,5.7899,0.07719866666666667,30000,4679,7,6348,18966,0.15596666666666667,0.00023333333333333333,0.2116,0.6322
20,5,75,0.26666666666666666,5.756833,0.07675777333333333,30000,4348,8,5314,20330,0.14493333333333333,0.0002666666666666667,0.17713333333333334,0.6776666666666666
23,5,75,0.30666666666666664,5.8111,0.07748133333333333,30000,3311,0,3116,23573,0.11036666666666667,0.0,0.10386666666666666,0.7857666666666666
26,5,75,0.3466666666666667,5.8173,0.07756400000000001,30000,2325,0,1704,25971,0.0775,0.0,0.0568,0.8657
30,5,75,0.4,5.998133,0.07997510666666667,30000,1383,0,677,27940,0.0461,0.0,0.022566666666666665,0.9313333333333333
34,5,75,0.4533333333333333,5.814233,0.07752310666666666,30000,743,0,231,29026,0.024766666666666666,0.0,0.0077,0.9675333333333334
38,5,75,0.5066666666666667,5.800833,0.07734444,30000,337,0,79,29584,0.011233333333333333,0.0,0.0026333333333333334,0.9861333333333333
41,5,75,0.5466666666666666,5.7892,0.07718933333333333,30000,169,0,16,29815,0.005633333333333333,0.0,0.0005333333333333334,0.9938333333333333
45,5,75,0.6,5.770667,0.07694222666666667,30000,64,0,4,29932,0.0021333333333333334,0.0,0.00013333333333333334,0.9977333333333334
49,5,75,0.6533333333333333,5.758933,0.07678577333333333,30000,24,0,1,29975,0.0008,0.0,3.3333333333333335e-05,0.9991666666666666
53,5,75,0.7066666666666667,5.763867,0.07685156,30000,3,0,0,29997,0.0001,0.0,0.0,0.9999
