Sample Size,Num Attributes,No. Fds,FD Density,Minimal Cover Size,Reduction Ratio,1NF,2NF,3NF,BCNF
20,4,28,,4.677550,,60000,0,6,59805
40,4,28,,4.500000,,60000,0,0,60000
60,4,28,,4.500000,,60000,0,0,60000
20,5,75,,5.756883,,60000,7,10552,40602
40,5,75,,5.565350,,60000,0,70,59489
60,5,75,,5.224733,,60000,0,0,60000
20,6,186,,7.569533,,30000,98,20461,5389
40,6,186,,7.265400,,30000,2,6835,20444
60,6,186,,7.010700,,30000,0,1098,27734
20,10,5110,,15.914067,,10000,38,9932,0
40,10,5110,,23.309233,,,,,
60,10,5110,,25.994333,,,,,
